Fund House,Scheme Type,Scheme Category,Scheme Code,Scheme Name,NAV,Date
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100033,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,928.26,14-10-2024
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100034,Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,143.97,14-10-2024
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,13.3373,14-10-2024
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,119.5882,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,108.023,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),650.2286,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),667.2691,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,163.694,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,100.195,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100047,Aditya Birla Sun Life Liquid Fund - Growth,400.6852,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,108.1346,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,100.2801,14-10-2024
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,11.4011,14-10-2024
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,77.9575,14-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW,251.99,11-10-2024
Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,1459.02,11-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100077,DSP Bond Fund - IDCW,11.7705,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100078,DSP Bond Fund - Growth,77.1624,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100079,DSP Bond Fund - IDCW - Monthly,11.1308,14-10-2024
DSP Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100080,DSP Flexi Cap Fund - Regular Plan - IDCW,71.681,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100081,DSP Equity & Bond Fund- Regular Plan - Growth,352.847,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100082,DSP Equity & Bond Fund- Regular Plan - IDCW,31.461,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100084,DSP Gilt Fund - Regular Plan - Growth,91.8906,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100085,DSP Gilt Fund - Regular Plan - IDCW,12.1998,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100086,DSP Gilt Fund - Regular Plan - IDCW - Monthly,10.6659,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,100087,DSP Savings Fund - Regular Plan - Growth,50.0355,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,100088,DSP Savings Fund - Regular Plan - IDCW,12.1915,14-10-2024
DSP Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,100089,DSP Savings Fund - Regular Plan - IDCW - Monthly,10.9403,14-10-2024
HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,100119,HDFC Balanced Advantage Fund - Growth Plan,510.36,14-10-2024
HDFC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,100120,HDFC Balanced Advantage Fund - IDCW Plan,40.892,14-10-2024
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100123,HDFC Income Fund - Quarterly IDCW Option,11.3174,14-10-2024
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100124,HDFC Income Fund - Growth Option,55.3337,14-10-2024
quant Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100174,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,55.991,14-10-2024
quant Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,403.1964,14-10-2024
quant Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,100176,quant Small Cap Fund - IDCW Option - Regular Plan,219.9094,14-10-2024
quant Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,100177,quant Small Cap Fund - Growth - Regular Plan,276.5256,14-10-2024
JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100218,JM Large Cap Fund (Regular) - IDCW ,31.626,14-10-2024
JM Financial Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100219,JM Large Cap Fund (Regular) - Growth Option,162.9169,14-10-2024
JM Financial Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100220,JM Aggressive Hybrid Fund (Regular) - IDCW,35.7328,14-10-2024
