fundName,schemeGroupName,changePercent,schemeGroupId,schemeName,schemeId,schemeid,AUM,launchDate,1Day,7Day,15Day,30Day,3Month,6Month,1Year,2Year,3Year,5Year,7Year,10Year,15Year,20Year,25Year,D30Quarter,M3Quarter,M6Quarter,Y1Quarter,Y2Quarter,Y3Quarter,Y5Quarter,Y10Quarter,Y15Quarter,Y20Quarter,sinceInceptionReturn,fundRat,category,currentNav,isRecommended,minAmount,sipMinAmount,sipMinAmountBSE,1YearSIPReturn,3YearSIPReturn,5YearSIPReturn,10YearSIPReturn,15YearSIPReturn,20YearSIPReturn,sinceInceptionSIPReturn,expenseRatio
HDFC Mutual Fund,HDFC Defence Fund,-2.53279,b7d67e37eff6394e9ac26a893fb5a0fd,HDFC Defence Fund Reg (G),e647f73a5ac8833cdb60ef214e4436af,e647f73a5ac8833cdb60ef214e4436af,3952,02-06-2023 00:00,-2.5327,-4.84,-4.61,-6.55,-17.06,17.88,69.86,0,0,0,0,0,0,0,0,D,D,B,A,,B,B,A,A,A,70.21,0,Equity: Thematic,20.511,0,100,100,100,59.2777,,,,,,68.2834,1.9
Motilal Oswal Mutual Fund,Motilal Oswal Midcap Fund,-0.66673,180e66b3fa0d2a5964dc2ebbc6e8c4bc,Motilal Oswal Midcap Fund Reg (G),c2d7d9364aad0f747f5412e537c2b2b3,c2d7d9364aad0f747f5412e537c2b2b3,15940,24-02-2014 00:00,-0.6667,-2.24,-2.08,2.15,8.38,28.93,68.06,41.67,34.22,33.21,22.33,21.3446,0,0,0,A,A,A,A,,A,A,A,B,A,24.79,5,Equity: Mid Cap,105.1393,0,500,500,500,76.771,47.6915,41.8915,25.1659,,,24.8707,1.66
ICICI Prudential Mutual Fund,ICICI Pru All Seasons Bond Fund,0.012092,c0c7f1f91647b40288d96f8cc75acb14,ICICI Pru All Seasons Bond Fund (G),527a44cf9b8a86c90556a7db73aa5872,527a44cf9b8a86c90556a7db73aa5872,12846,04-05-2009 00:00,0.0121,-0.09,0.13,0.7,2.37,4.39,8.68,7.85,6.34,7.43,7.2,8.5279,0,0,0,B,C,C,C,,A,A,A,C,B,8.82,5,Debt: Dynamic Bond,34.7382,0,5000,100,100,9.1194,7.7086,7.0265,7.6569,,,8.5734,1.31
Nippon India Mutual Fund,Nippon India Junior BeES FoF,-2.25962,8abfafba55a9a6bdc5c095b6991dd0af,Nippon India Junior BeES FoF (G),9a84b95598aef5283dc79fa9c810c2fa,9a84b95598aef5283dc79fa9c810c2fa,493,08-03-2019 00:00,-2.2595,-4.44,-2.43,-1.37,0.18,17.69,64.42,31.39,19.6,22.98,0,0,0,0,0,C,C,A,A,,A,A,A,A,A,19.35,4,Equity: Index,27.108,0,100,1000,100,64.2035,37.0396,29.5094,,,,27.2854,0.29
UTI Mutual Fund,UTI Nifty 500 Value 50 Index Fund,-2.95353,dd07e6b8e4446b30f25e5e7fcacd1a2d,UTI Nifty 500 Value 50 Index Fund Reg (G),226cd167f6d8665fbd4301e4a8a4fe68,226cd167f6d8665fbd4301e4a8a4fe68,519,10-05-2023 00:00,-2.9535,-5.27,0.06,-1.68,-2.41,11.4,64.12,0,0,0,0,0,0,0,0,C,D,B,A,,B,B,A,A,A,63.38,0,Equity: Index,20.017,0,1000,500,500,53.7078,,,,,,64.0281,1.03
Motilal Oswal Mutual Fund,Motilal Oswal S&P BSE Enhanced Value Index Fund,-2.76985,28cc3c1b543df8baf757b476d4065c2a,Motilal Oswal S&P BSE Enhanced Value Index Fund Reg (G),07eb27af285b000100003eef37aafc37,07eb27af285b000100003eef37aafc37,842,22-08-2022 00:00,-2.7698,-5.31,-0.39,-2.77,-1.89,11.29,63.73,55.65,0,0,0,0,0,0,0,D,D,B,A,,B,B,A,A,A,54.37,0,Equity: Index,25.2005,0,500,500,500,52.2458,,,,,,61.3852,1.1
LIC Mutual Fund,LIC Infrastructure Fund,-3.42084,fad33ea52ae65060671b4b92c9ad5f9f,LIC Infrastructure Fund (G),73386191c57a76a82d69295570b42a1c,73386191c57a76a82d69295570b42a1c,725,24-03-2008 00:00,-3.4207,-5.88,-3.75,-4.7,-7.05,24.39,62.27,42.47,31.02,28.99,19.88,16.2423,11.757,0,0,C,C,A,A,,A,A,A,A,A,9.98,4,Equity: Sectoral,48.9723,0,5000,1000,1000,68.6991,47.2593,39.298,22.8688,17.5831,,16.2546,2.43
Invesco Mutual Fund,Invesco India PSU Equity Fund,-2.63966,efa75a0565692cccb79a7b18f998c151,Invesco India PSU Equity Fund (G),fe75657db42ef8986c1678026bc42af2,fe75657db42ef8986c1678026bc42af2,1593,18-11-2009 00:00,-2.6396,-5.44,-1.95,-4.53,-9.72,11.01,62.17,48.06,31.72,29.72,18.59,17.9172,13.0769,0,0,D,D,C,A,,A,A,A,A,A,13.08,0,Equity: Thematic,63.44,0,1000,500,500,51.7776,49.3673,38.8853,23.2066,,,18.1757,2.06
ICICI Prudential Mutual Fund,ICICI Pru Asset Allocator Fund (FOF),-0.446352,716bd7a6c41cb7c8888840669a21c2de,ICICI Pru Asset Allocator Fund (FOF) (G),4cd99f635fb7bfa7fe45984abcae0da8,4cd99f635fb7bfa7fe45984abcae0da8,22631,18-12-2003 00:00,-0.4464,-1.31,-1.04,0.43,2.86,8.18,21.82,17.62,13.17,15.08,12.84,12.4443,11.769,12.6087,0,B,A,C,C,,B,A,A,A,A,12.2,4,Hybrid: Multi-Asset,113.348,0,5000,1000,1000,22.7005,17.9481,17.0136,13.8279,12.8184,12.3101,12.3526,1.14
DSP Mutual Fund,DSP Nifty Next 50 Index Fund,-2.3195,6868ee80a69cf317032705d37c6410f1,DSP Nifty Next 50 Index Fund Reg (G),2b1d309d5ca1e9a6401f8f24eefbb113,2b1d309d5ca1e9a6401f8f24eefbb113,778,21-02-2019 00:00,-2.3195,-5.45,-3.49,-2.2,-0.72,16.2,61.9,30.68,19.14,22.63,0,0,0,0,0,D,D,A,A,,A,A,A,A,A,20.15,4,Equity: Index,28.0976,0,500,500,100,63.6493,36.8477,29.3897,,,,27.2,0.79
