fundName,schemeGroupName,changePercent,schemeGroupId,schemeName,schemeId,schemeid,AUM,launchDate,1Day,7Day,15Day,30Day,3Month,6Month,1Year,2Year,3Year,5Year,7Year,10Year,15Year,20Year,25Year,D30Quarter,M3Quarter,M6Quarter,Y1Quarter,Y2Quarter,Y3Quarter,Y5Quarter,Y10Quarter,Y15Quarter,Y20Quarter,sinceInceptionReturn,fundRat,category,currentNav,isRecommended,minAmount,sipMinAmount,sipMinAmountBSE,1YearSIPReturn,3YearSIPReturn,5YearSIPReturn,10YearSIPReturn,15YearSIPReturn,20YearSIPReturn,sinceInceptionSIPReturn,expenseRatio
Mirae Asset Mutual Fund,Mirae Asset NYSE FANG+ E T F FoF,-4.47274,6e7225190bb299f68e83ac2a4a62cddc,Mirae Asset NYSE FANG+ E T F FoF Reg (G),32bbd669b5a82e726d6391eea0f23722,32bbd669b5a82e726d6391eea0f23722,1462,10-05-2021 00:00,-4.4726,7.41,11.21,11.87,17.03,14.54,66.5,71.03,22.16,0,0,0,0,0,0,A,A,B,A,,A,B,B,A,A,26.44,0,Equity: Global,22.81,0,5000,99,99,35.7194,38.4517,,,,,33.6709,0.44
HDFC Mutual Fund,HDFC Defence Fund,-3.52592,b7d67e37eff6394e9ac26a893fb5a0fd,HDFC Defence Fund Reg (G),e647f73a5ac8833cdb60ef214e4436af,e647f73a5ac8833cdb60ef214e4436af,3997,02-06-2023 00:00,-3.5259,-6.37,-1.68,-7.76,-7.39,10.17,58.93,0,0,0,0,0,0,0,0,B,D,A,A,,B,A,A,A,A,61.95,0,Equity: Thematic,20.138,0,100,100,100,59.2777,,,,,,68.2834,1.89
Motilal Oswal Mutual Fund,Motilal Oswal Midcap Fund,-2.4619,180e66b3fa0d2a5964dc2ebbc6e8c4bc,Motilal Oswal Midcap Fund Reg (G),c2d7d9364aad0f747f5412e537c2b2b3,c2d7d9364aad0f747f5412e537c2b2b3,18604,24-02-2014 00:00,-2.4619,-5.15,-2.99,-7.24,3.62,24.73,56.39,40.37,29.95,30.85,21.58,20.0196,0,0,0,A,A,A,A,,A,A,A,B,A,24.1,5,Equity: Mid Cap,101.3851,0,500,500,500,76.771,47.6915,41.8915,25.1659,,,24.8707,1.65
LIC Mutual Fund,LIC Infrastructure Fund,-3.36555,fad33ea52ae65060671b4b92c9ad5f9f,LIC Infrastructure Fund (G),73386191c57a76a82d69295570b42a1c,73386191c57a76a82d69295570b42a1c,750,24-03-2008 00:00,-3.3654,-7.03,-2.67,-8.63,-5.24,16.48,55.33,41.51,27.01,26.84,18.22,14.7634,11.7176,0,0,C,C,A,A,,A,A,A,A,A,9.76,5,Equity: Sectoral,47.7983,0,5000,1000,200,68.6991,47.2593,39.298,22.8688,17.5831,,16.2546,2.4
HDFC Mutual Fund,HDFC Pharma and Healthcare Fund,-1.6791,f5195d5aafadfc73a65afa721e69855f,HDFC Pharma and Healthcare Fund Reg (G),ec5a35c8bc0e20ea16d47a844c6f1fa4,ec5a35c8bc0e20ea16d47a844c6f1fa4,1303,04-10-2023 00:00,-1.6791,-4.58,-1.07,-3.81,5.2,25.47,52.46,0,0,0,0,0,0,0,0,B,A,A,A,,B,B,A,A,A,51.43,0,Equity: Sectoral,15.81,0,0,0,100,67.7684,,,,,,67.7684,2.21
Bandhan Mutual Fund,Bandhan Small Cap Fund,-2.75524,a37d1008da5ee58a547e162ddf7b2acf,Bandhan Small Cap Fund Reg (G),cd04188a45338aa43f8b9da05ee11771,cd04188a45338aa43f8b9da05ee11771,7534,25-02-2020 00:00,-2.7551,-7.24,-2.89,-7.88,1.22,21.31,51.4,44.53,24.5,0,0,0,0,0,0,B,A,A,A,,A,B,B,A,A,36.47,3,Equity: Small Cap,44.224,0,1000,100,100,75.5229,48.2994,,,,,42.512,1.74
ICICI Prudential Mutual Fund,ICICI Pru PSU Equity Fund,-1.74757,b72d74ec1f4dd4d5a3d0954630771703,ICICI Pru PSU Equity Fund Reg (G),c94240b0b11bb8f3cfa4e44047ca8145,c94240b0b11bb8f3cfa4e44047ca8145,2539,09-09-2022 00:00,-1.7476,-5.15,-3.48,-6.21,-6.81,3.32,50.71,39.25,0,0,0,0,0,0,0,A,C,C,A,,B,A,A,A,A,38.34,0,Equity: Thematic,20.24,0,5000,1000,100,49.6176,,,,,,55.3985,1.97
SBI Mutual Fund,SBI PSU Fund,-2.07396,89c6c7e2f9287ac774547bc15805d07b,SBI PSU Fund Reg (G),8e3680c256f52ec0ed1c1177c4cb3bfe,8e3680c256f52ec0ed1c1177c4cb3bfe,4703,07-07-2010 00:00,-2.0739,-5.7,-3.37,-6.85,-7.23,2.3,50.7,40.52,31.93,24.09,13.16,12.0448,0,0,0,B,D,C,A,,A,A,A,A,A,8.08,0,Equity: Thematic,30.8751,0,5000,500,500,48.7419,49.9506,39.598,20.6995,,,15.2692,1.86
ICICI Prudential Mutual Fund,ICICI Pru Pharma Healthcare And Diagnostics Fund,-1.73228,d2b875cbe60bd7262401a6d0874afbc6,ICICI Pru Pharma Healthcare And Diagnostics Fund (G),9662d3352ad2f6731a07f3e274ef9b55,9662d3352ad2f6731a07f3e274ef9b55,4987,13-07-2018 00:00,-1.7322,-4.44,-1.71,-4.68,3.25,22.67,50.54,37.99,22.19,30.41,0,0,0,0,0,B,A,A,A,,A,A,A,A,A,23.14,5,Equity: Sectoral,37.44,0,5000,100,100,66.8269,40.3113,31.8189,,,,29.5427,1.93
Canara Robeco Mutual Fund,Canara Robeco Infrastructure Fund,-2.30621,de3acb6e021ef27f175324160c72595a,Canara Robeco Infrastructure Fund Reg (G),a314fc94576117598c2afb87b2c58107,a314fc94576117598c2afb87b2c58107,883,02-12-2005 00:00,-2.3062,-6.14,-3.44,-9.24,-4.48,11.27,50.32,34.86,24.89,28.21,16.96,16.0698,14.7318,0,0,C,C,A,A,,A,A,A,A,A,15.46,4,Equity: Sectoral,152.5,0,5000,1000,1000,63.6056,43.9031,38.8838,22.735,18.8802,,17.0666,2.28
Mirae Asset Mutual Fund,Mirae Asset S&P 500 Top 50 E T F FoF,-6.48706,c95afc8b81aa4820716e5ae70c96c7c7,Mirae Asset S&P 500 Top 50 E T F FoF (G),f47a892547c805009c668ed7a2ef1ee7,f47a892547c805009c668ed7a2ef1ee7,536,22-09-2021 00:00,-6.487,2.49,9.59,11.22,16.81,14.55,50.18,36.75,17.65,0,0,0,0,0,0,A,A,A,A,,A,B,B,A,A,19.1,0,Equity: Global,17.529,0,0,0,99,29.2626,23.5665,,,,,22.6658,0.49
Invesco Mutual Fund,Invesco India Focused Fund,-2.11216,387bba1ae34a8119f1e85d4a1f1c4225,Invesco India Focused Fund Reg (G),bf8c8e059c31b5e62bf034c54194ddbe,bf8c8e059c31b5e62bf034c54194ddbe,3251,30-09-2020 00:00,-2.1122,-5.75,-4.55,-7.28,1.47,13.61,50.17,32.87,17.23,0,0,0,0,0,0,C,A,A,A,,A,C,B,B,A,27.08,4,Equity: Focused,26.88,0,1000,500,500,63.7949,38.1144,,,,,32.4374,1.92
Franklin Templeton Mutual Fund,Franklin India Opportunities Fund,-2.0116,d0f76116ae24e89b3fafd675c23a1c00,Franklin India Opportunities Fund (G),bffbf33db6800efa467a511d885c13e3,bffbf33db6800efa467a511d885c13e3,5610,21-02-2000 00:00,-2.0116,-5.03,-2.64,-6.46,-2.44,10.99,50.09,41.06,22.74,27.07,18.28,16.3756,15.175,17.0745,0,A,B,A,A,,A,A,A,A,A,13.75,0,Equity: Thematic,238.7162,0,5000,500,500,59.1068,44.915,36.5248,22.3523,19.1632,17.0077,17.8974,1.82
Bandhan Mutual Fund,Bandhan Infrastructure Fund,-2.87515,0eda04091d21dc25dfc29b9ce16f0209,Bandhan Infrastructure Fund Reg (G),7e678d46618d3ed6c0581030f963f626,7e678d46618d3ed6c0581030f963f626,1906,08-03-2011 00:00,-2.8752,-7.48,-3.24,-9.68,-9.93,8.15,49.67,41.26,24.32,29.08,14.99,16.0381,0,0,0,C,C,B,A,,A,A,A,A,A,12.32,2,Equity: Sectoral,49.455,0,1000,100,100,64.8166,48.5336,42.0814,23.5534,,,19.464,2.07
Invesco Mutual Fund,Invesco India PSU Equity Fund,-2.13661,efa75a0565692cccb79a7b18f998c151,Invesco India PSU Equity Fund (G),fe75657db42ef8986c1678026bc42af2,fe75657db42ef8986c1678026bc42af2,1436,18-11-2009 00:00,-2.1366,-6.34,-4.02,-7.6,-8.38,4.21,49.39,39.78,28.95,26.49,16.97,16.4573,12.6251,0,0,B,D,C,A,,A,A,A,A,A,12.63,0,Equity: Thematic,60.46,0,1000,500,500,51.7776,49.3673,38.8853,23.2066,,,18.1757,2.06
DSP Mutual Fund,DSP India T.I.G.E.R. Fund,-2.21011,401429feac9c130cf4a0295c860770ee,DSP India T.I.G.E.R. Fund Reg (G),1801113015b314b847a7ecd650106290,1801113015b314b847a7ecd650106290,5646,11-06-2004 00:00,-2.2101,-5.71,-2.38,-9.05,-4.84,7.96,49.3,39.92,27.97,28.29,18.1,17.2587,14.2658,17.8316,0,C,C,B,A,,A,A,A,A,A,18.42,3,Equity: Sectoral,314.859,0,100,100,100,60.7994,47.4358,41.317,24.0892,19.5121,17.2744,17.4167,1.87
DSP Mutual Fund,DSP Healthcare Fund,-1.02053,1559dc9ba6a3fd73816243a4f0b35566,DSP Healthcare Fund (G),f051a841d53b64d46dda463d719a5acd,f051a841d53b64d46dda463d719a5acd,3094,30-11-2018 00:00,-1.0204,-3.36,-0.04,-2.42,6.93,22.9,48.99,34.58,21.02,30.83,0,0,0,0,0,A,A,A,A,,A,A,A,A,A,26.08,3,Equity: Sectoral,40.25,0,500,100,100,59.867,36.4082,30.1132,,,,29.6391,1.94
Edelweiss Mutual Fund,Edelweiss US Technology Equity Fund of Fund,0.111277,4452ea9db395859b838ea9bbd93a89a7,Edelweiss US Technology Equity Fund of Fund Reg (G),2af04f9d4f01c82d14973bb24a2fbd46,2af04f9d4f01c82d14973bb24a2fbd46,2251,05-03-2020 00:00,0.1113,5.98,6.97,6.3,20.51,19.83,47.53,42.1,7.07,0,0,0,0,0,0,A,A,A,A,,B,B,B,A,A,22.46,0,Equity: Global,26.18,0,100,100,100,26.842,22.7504,,,,,16.9583,2.32
UTI Mutual Fund,UTI Healthcare Fund,-1.70482,9c8951a6f50a26a1022570dd46352f5c,UTI Healthcare Fund (G),8bcb2ad4dc7ebca9ea800714b6940ba5,8bcb2ad4dc7ebca9ea800714b6940ba5,1201,28-06-1999 00:00,-1.7048,-4.66,-0.5,-4.37,4.65,24.13,46.62,34.84,19.1,28.19,18.52,12.5425,16.4346,0,0,B,A,A,A,,A,A,A,A,A,15.18,3,Equity: Sectoral,277.6135,0,5000,500,500,65.6331,37.2606,28.9931,18.6618,16.938,,16.6383,2.25
Motilal Oswal Mutual Fund,Motilal Oswal ELSS Tax Saver Fund,-3.15164,6525297f97222ba4f825c5010c3c6bf4,Motilal Oswal ELSS Tax Saver Fund Reg(G),9b5203d549f43037f4effbf3fb491d4c,9b5203d549f43037f4effbf3fb491d4c,4195,21-01-2015 00:00,-3.1516,-7.57,-5.25,-10.64,-0.22,16.44,46.37,35.19,20.95,22.08,16.86,0,0,0,0,,D,A,A,,A,A,C,B,A,17.77,4,Equity: ELSS,49.8125,0,500,1000,500,69.1938,42.123,33.1797,,,,21.9287,1.83
Nippon India Mutual Fund,Nippon India Junior BeES FoF,-1.86925,8abfafba55a9a6bdc5c095b6991dd0af,Nippon India Junior BeES FoF (G),9a84b95598aef5283dc79fa9c810c2fa,9a84b95598aef5283dc79fa9c810c2fa,525,08-03-2019 00:00,-1.8692,-5.88,-4.75,-11.15,-6.22,4.49,46.33,24.7,15.26,18.99,0,0,0,0,0,D,D,C,A,,A,A,A,A,A,17.11,4,Equity: Index,24.7578,0,100,1000,100,64.2035,37.0396,29.5094,,,,27.2854,0.29
