Code,Scheme Name,NAV,ISIN Div Payout,ISIN Growth,ISIN Div Reinvestment
,,N/A,,N/A,N/A
120489,JM Large Cap Fund (Direct) - IDCW,69.39640,INF192K01BX5INF192K01BY3,N/A,N/A
100321,LIC MF Aggressive Hybrid Fund-Regular Plan-IDCW,16.21820,INF767K01022INF767K01014,N/A,N/A
,,N/A,,N/A,N/A
100318,LIC MF Gilt Fund-PF Plan-IDCW,21.39540,INF767K01717INF767K01725,N/A,N/A
119433,Aditya Birla Sun Life Equity Advantage Fund -Direct - IDCW,201.81000,INF209K01VG0INF209K01VI6,N/A,N/A
134880,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Yearly)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01DV4,N/A,N/A
119436,Aditya Birla Sun Life Equity Advantage Fund - Growth - Direct Plan,941.69000,INF209K01VH8,N/A,N/A
119605,Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan,83.32200,INF209K01XP7,N/A,N/A
134874,LIC MF ULIS (15Yrs. Regular Premium Uniform Cover Yearly)-Regular Plan-IDCW Reinvestment,34.79390,INF767K01AJ5,N/A,N/A
100253,JM G-Sec Fund - Bonus Option - Principal Units,29.56080,INF192K01817,N/A,N/A
139258,JM Liquid Fund Unclaimed Dividend (Direct) Growth Plan,57.82290,INF192K01LB0,N/A,N/A
100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW,30.44370,INF767K01063INF767K01055,N/A,N/A
,,N/A,,N/A,N/A
134883,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Yearly)-Direct Plan-IDCW Reinvestment,38.40720,INF767K01DY8,N/A,N/A
100219,JM Large Cap Fund (Regular) - Growth Option,152.76140,INF192K01601,N/A,N/A
,,N/A,,N/A,N/A
100221,JM Aggressive Hybrid Fund (Regular) -Growth Option,121.09310,INF192K01544,N/A,N/A
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),670.99240,INF209K01RT1,N/A,N/A
,,N/A,,N/A,N/A
133036,Kotak Equity Hybrid - Growth,59.42800,INF174K01E92,N/A,N/A
100314,LIC MF Medium to Long Duration Fund-Regular Plan-IDCW,15.04770,INF767K01907INF767K01915,N/A,N/A
